Now Time,500ETF,call_202503_6.0,call_202506_6.0,call_reverse_value,call_reverse_profit_6.0
2024/12/26 11:18,5.982,0.2429,0.34,-971,-13
2024/12/26 11:19,5.981,0.2431,0.34,-969,-11
2024/12/26 11:20,5.983,0.2431,0.3423,-992,-34
2024/12/26 11:22,5.985,0.244,0.3423,-983,-25
2024/12/26 11:23,5.982,0.2433,0.3423,-990,-32
2024/12/26 11:24,5.985,0.2433,0.3423,-990,-32
2024/12/26 11:26,5.987,0.2449,0.3423,-974,-16
2024/12/26 11:27,5.985,0.2457,0.3423,-966,-8
2024/12/26 11:28,5.987,0.2438,0.3423,-985,-27
2024/12/26 13:10,5.978,0.241,0.3412,-1002,-44
2024/12/26 13:11,5.98,0.241,0.3412,-1002,-44
2024/12/26 13:13,5.981,0.2424,0.3416,-992,-34
2024/12/26 13:14,5.979,0.2423,0.3416,-993,-35
2024/12/26 13:16,5.978,0.2423,0.3416,-993,-35
2024/12/26 13:17,5.982,0.2426,0.339,-964,-6
2024/12/26 13:18,5.983,0.2442,0.339,-948,10
2024/12/26 13:19,5.982,0.2442,0.339,-948,10
2024/12/26 13:21,5.982,0.242,0.3416,-996,-38
2024/12/26 13:22,5.982,0.244,0.3423,-983,-25
2024/12/26 13:23,5.981,0.244,0.3423,-983,-25
2024/12/26 13:25,5.974,0.2406,0.3414,-1008,-50
2024/12/26 13:26,5.978,0.2411,0.3414,-1003,-45
2024/12/26 13:27,5.977,0.2411,0.3414,-1003,-45
2024/12/26 13:29,5.973,0.2398,0.3414,-1016,-58
2024/12/26 13:30,5.972,0.2398,0.3414,-1016,-58
2024/12/26 13:31,5.968,0.2399,0.3414,-1015,-57
2024/12/26 13:32,5.969,0.2366,0.3401,-1035,-77
2024/12/26 13:34,5.975,0.2381,0.3396,-1015,-57
2024/12/26 13:35,5.974,0.2389,0.3396,-1007,-49
2024/12/26 13:36,5.974,0.239,0.3396,-1006,-48
2024/12/26 13:38,5.977,0.2406,0.3419,-1013,-55
2024/12/26 13:39,5.978,0.2406,0.3419,-1013,-55
2024/12/26 13:40,5.978,0.2406,0.3419,-1013,-55
2024/12/26 13:42,5.975,0.2406,0.3392,-986,-28
2024/12/26 13:43,5.978,0.2406,0.3392,-986,-28
2024/12/26 13:44,5.975,0.2406,0.3392,-986,-28
2024/12/26 13:45,5.977,0.2382,0.3392,-1010,-52
2024/12/26 13:47,5.979,0.24,0.3392,-992,-34
2024/12/26 13:48,5.977,0.24,0.3392,-992,-34
2024/12/26 13:49,5.977,0.24,0.3392,-992,-34
2024/12/26 13:51,5.981,0.24,0.3392,-992,-34
2024/12/26 13:52,5.979,0.24,0.3392,-992,-34
2024/12/26 13:53,5.978,0.24,0.3392,-992,-34
2024/12/26 13:54,5.974,0.2405,0.3392,-987,-29
2024/12/26 13:56,5.972,0.2405,0.3392,-987,-29
2024/12/26 13:57,5.965,0.237,0.3384,-1014,-56
2024/12/26 13:58,5.967,0.2364,0.3378,-1014,-56
2024/12/26 14:00,5.969,0.2377,0.3378,-1001,-43
2024/12/26 14:01,5.967,0.2377,0.3404,-1027,-69
2024/12/26 14:02,5.966,0.235,0.3404,-1054,-96
2024/12/26 14:04,5.964,0.2363,0.3366,-1003,-45
2024/12/26 14:05,5.967,0.2363,0.3366,-1003,-45
2024/12/26 14:07,5.971,0.2363,0.3396,-1033,-75
2024/12/26 14:08,5.971,0.2385,0.3396,-1011,-53
2024/12/26 14:09,5.97,0.2385,0.3396,-1011,-53
2024/12/26 14:11,5.977,0.24,0.3396,-996,-38
2024/12/26 14:12,5.977,0.24,0.3396,-996,-38
2024/12/26 14:14,5.975,0.24,0.3396,-996,-38
2024/12/26 14:15,5.977,0.2398,0.3396,-998,-40
2024/12/26 14:16,5.976,0.2398,0.3396,-998,-40
2024/12/26 14:18,5.978,0.2411,0.3396,-985,-27
2024/12/26 14:19,5.98,0.242,0.3396,-976,-18
2024/12/26 14:20,5.983,0.2428,0.3396,-968,-10
2024/12/26 14:22,5.981,0.2433,0.3396,-963,-5
2024/12/26 14:23,5.98,0.2433,0.3396,-963,-5
2024/12/26 14:24,5.982,0.2433,0.3396,-963,-5
2024/12/26 14:25,5.981,0.2407,0.3396,-989,-31
2024/12/26 14:27,5.98,0.2413,0.3396,-983,-25
2024/12/26 14:28,5.979,0.2413,0.3396,-983,-25
2024/12/26 14:29,5.981,0.2413,0.3437,-1024,-66
2024/12/26 14:31,5.982,0.242,0.3437,-1017,-59
2024/12/26 14:32,5.984,0.243,0.3437,-1007,-49
2024/12/26 14:33,5.98,0.2432,0.3437,-1005,-47
2024/12/26 14:35,5.981,0.2425,0.3441,-1016,-58
2024/12/26 14:36,5.983,0.2425,0.3441,-1016,-58
2024/12/26 14:37,5.982,0.2425,0.3441,-1016,-58
2024/12/26 14:39,5.979,0.2422,0.3444,-1022,-64
2024/12/26 14:40,5.975,0.2419,0.3444,-1025,-67
2024/12/26 14:42,5.972,0.2393,0.3444,-1051,-93
